stage,model,sensitive_attr,group,n,base_rate_true_at_risk,accuracy,balanced_accuracy,precision_at_risk,recall_at_risk,f1_at_risk,tp,tn,fp,fn,tpr_recall_at_risk,fpr,fnr,tnr,selection_rate_pred_at_risk,roc_auc
early_25pct,RandomForest,imd_band,nan,312,0.3333333333333333,0.7948717948717948,0.75,0.7272727272727273,0.6153846153846154,0.6666666666666666,64,184,24,40,0.6153846153846154,0.11538461538461539,0.38461538461538464,0.8846153846153846,0.28205128205128205,0.84948224852071
full_100pct,LogisticRegression,gender,F,3696,0.5219155844155844,0.9196428571428571,0.9208070721126299,0.9488448844884488,0.8942457231726283,0.9207365892714171,1725,1674,93,204,0.8942457231726283,0.05263157894736842,0.1057542768273717,0.9473684210526315,0.49188311688311687,0.9678419782294077
full_100pct,LogisticRegression,gender,M,4444,0.5303780378037803,0.9275427542754275,0.9280427415080812,0.9421990438939591,0.9198133220195164,0.9308716187204809,2168,1954,133,189,0.9198133220195164,0.0637278390033541,0.08018667798048366,0.9362721609966459,0.5177767776777678,0.9799286814815599
full_100pct,LogisticRegression,age_band,0-35,5778,0.5449982692973347,0.9214260989961924,0.9224804169629583,0.9431108188096021,0.9107653223245474,0.9266558966074313,2868,2456,173,281,0.9107653223245474,0.06580448839863066,0.08923467767545253,0.9341955116013694,0.526306680512288,0.9743764767528704
full_100pct,LogisticRegression,age_band,35-55,2302,0.4826238053866203,0.9291920069504779,0.9282146098740857,0.9505703422053232,0.9000900090009001,0.9246417013407304,1000,1139,52,111,0.9000900090009001,0.0436607892527288,0.0999099909990999,0.9563392107472712,0.4569939183318853,0.9749743236288365
full_100pct,LogisticRegression,age_band,55<=,60,0.43333333333333335,0.9666666666666667,0.9660633484162896,0.9615384615384616,0.9615384615384616,0.9615384615384616,25,33,1,1,0.9615384615384616,0.029411764705882353,0.038461538461538464,0.9705882352941176,0.43333333333333335,0.9717194570135747
full_100pct,LogisticRegression,highest_education,A Level or Equivalent,3438,0.48196625945317045,0.9232111692844677,0.9225018865737956,0.9355847404627893,0.9028364514182257,0.918918918918919,1496,1678,103,161,0.9028364514182257,0.05783267827063447,0.0971635485817743,0.9421673217293656,0.4650959860383944,0.9720292350320234
full_100pct,LogisticRegression,highest_education,HE Qualification,1176,0.44387755102040816,0.9311224489795918,0.9282136454708425,0.9401197604790419,0.9022988505747126,0.9208211143695014,471,624,30,51,0.9022988505747126,0.045871559633027525,0.09770114942528736,0.9541284403669725,0.4260204081632653,0.9830398256529228
full_100pct,LogisticRegression,highest_education,Lower Than A Level,3333,0.6006600660066007,0.9201920192019202,0.922234790003385,0.9530271398747391,0.9120879120879121,0.9321082184788158,1826,1241,90,176,0.9120879120879121,0.067618332081142,0.08791208791208792,0.932381667918858,0.5748574857485749,0.972057244033202
full_100pct,LogisticRegression,highest_education,No Formal quals,107,0.7476635514018691,0.9532710280373832,0.9319444444444445,0.9629629629629629,0.975,0.968944099378882,78,24,3,2,0.975,0.1111111111111111,0.025,0.8888888888888888,0.7570093457943925,0.9875
